Peak_ID,Library\ID,FF10BB02B01,FF10BB02B02,FF10BB02B03,FF10BB02P01,FF10BB02P02,FF10BB02P03,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24B01,FF10BB24B02,FF10BB24B03,FF10BB24P01,FF10BB24P02,FF10BB24P03,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48B01,FF10BB48B02,FF10BB48B03,FF10BB48P01,FF10BB48P02,FF10BB48P03,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02B01,PA10BB02B02,PA10BB02B03,PA10BB02P01,PA10BB02P02,PA10BB02P03,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24B01,PA10BB24B02,PA10BB24B03,PA10BB24P01,PA10BB24P02,PA10BB24P03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48B01,PA10BB48P01,PA10BB48P02,PA10BB48P03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
peak_044,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",247,224,0,38960,0,67600,56173,71738,66890,69004,1353,225,256,56854,67789,44477,50915,61267,29008,61020,513,1067,146,56734,64122,64200,55136,53203,59904,56620,174,129,0,47739,65790,60111,58012,58101,64858,63733,301,3042,0,55626,54953,43595,63999,69503,57878,49624,124,53407,47186,51167,55205,46438,54237,54391
peak_045,"2-Hexen-1-ol, (E)-",0,0,0,458535,543044,589732,685241,752711,754980,704166,2321,0,3540,551750,663974,610997,583747,725316,630389,628396,3067,3169,209,553234,557865,551559,571580,579953,718142,556016,734,0,4410,478216,560318,593731,517529,495115,568651,514152,1612,1851,4903,528855,595325,494123,470498,445713,538036,325881,342,496715,450589,500528,397051,337056,446245,285487
peak_046,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,337,192,516,124298,126316,146684,184796,138923,229219,221748,204,1106,576,142104,158576,147459,271277,194403,258004,251137,240,227,986,136263,140819,135380,372093,419065,419591,307009,0,92,147,86000,185507,172779,191822,178850,200829,182902,1063,820,663,131624,173197,148177,169632,170226,100080,151580,535,136968,138964,147833,146033,145054,166198,139373
peak_047,"Pyrazine, 2-ethyl-3,5-dimethyl-",0,0,0,158942,157268,0,169628,228549,229331,220275,55,0,0,0,161291,0,166632,193243,179995,190632,0,0,232,0,0,0,150108,166709,193137,188644,0,0,0,190900,219786,233085,230073,236546,229276,225640,0,1104,0,158079,201424,179567,200934,215351,197363,181822,0,173390,163719,173499,184414,163032,180386,168312
peak_048,1-Octen-3-ol,1976,0,121,23113,11446,32908,34770,43079,49739,42964,0,265,1237,15870,16632,19640,22589,31296,26201,29850,984,152,123,14358,17517,13513,17350,19082,25342,19071,1049,283,745,19177,39098,42142,33426,35417,40465,32578,141,1190,826,17215,21874,12845,16995,22113,23127,20115,0,14512,17683,18001,9017,13680,17274,14387
peak_049,Furfural,12534,16421,557,1411725,1280151,1647070,1469787,1685341,1744778,1624465,0,57114,42958,1876654,2311001,2092587,651210,307909,1028592,1174442,42257,46144,3061,2387678,2157354,2141248,484464,237362,833174,890536,2337,3144,8064,1278321,1763376,1763637,71061,66146,77106,40444,4608,19988,2517,1925823,2245889,1836135,191509,52270,125053,126721,5471,1874940,2035392,2174230,346864,239220,176329,203063
peak_050,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate1,0,341,555,30942,10253,46776,54295,64951,60479,52973,716,370,391,37669,39656,42555,79608,88541,63420,73951,1210,665,293,33918,45915,41554,94506,108982,115564,84065,487,398,458,37104,37645,46945,31278,42713,53245,45328,128,309,697,38341,46590,41248,38201,37578,44117,35084,275,29962,40162,34057,44532,28739,39641,31524
peak_051,2-Ethyl-1-hexanol,7898,8778,732,28962,37073,46887,39323,51854,52536,45402,4268,2665,4471,30984,39686,34349,35887,46469,41519,41319,3542,328,0,45074,26469,26744,39339,41110,45102,37306,1078,25756,28976,41765,36306,35714,46274,35678,40494,43351,10307,16521,7589,47427,28485,32279,42245,31970,28189,39760,13345,27714,24311,30530,36921,26372,214976,69337
peak_052,"Ethanone, 1-(2-furanyl)-",787,868,328,50060,66350,48266,77026,100303,98908,90113,360,1573,0,76992,61197,97161,83876,99528,84678,84365,5473,3273,672,88744,85455,78246,86551,78221,88664,82288,0,0,1006,60714,76146,71875,66931,69924,84576,68775,869,1474,1941,79875,94140,71233,77712,76963,79974,75547,2452,73255,70644,76987,80524,69928,82397,78928
peak_053,2-Mercapto-4-phenylthiazole,2074848,749565,1363,362428,475142,684489,221732,212243,501944,440444,217852,185606,291425,284589,315862,392404,255461,288389,322063,277646,210552,172207,38486,570484,271670,243061,207103,268208,255356,216955,208589,526052,1487489,1037214,545514,312070,589790,414551,270708,425777,270201,201888,113000,300688,204882,415046,284889,283049,154167,395721,329704,158626,286785,240906,199305,274804,224448,162581
