Peak_ID,a2,b2,c2,d2,e2,f2,g2,h2,i24,j24,k24,l24,m24,n24,o24,p24,q48,r48,s48,t48,u48,v48,w48,x48
Peak_135,0,31604453,0,30011844,30387243,34827458,35574494,37280356,0,2167814,0,0,2545097,2458760,1961730,2520246,0,4662210,0,2451383,4221727,5165832,2183695,2433301
Peak_136,0,22802471,0,22266855,23208596,25240318,27381741,27797732,1769557,9404466,0,2888970,18337836,17155809,9604701,15038984,0,0,0,1439509,0,0,0,0
Peak_137,2820165,14194258,0,17386225,18629166,20271662,22527307,27917412,827750,5127683,0,0,0,0,5091269,0,0,16846428,0,14637975,14615075,16028111,14414211,14605407
Peak_138,6195954,16320296,0,17269943,19019699,21270743,23068736,26951058,0,213622475,0,74277413,259607368,200775692,196023063,192635639,0,10073585,0,8082684,8142463,9457207,7881534,7864787
Peak_139,5417719,35253611,0,34624857,35224141,38921849,42756397,42754170,0,10227736,0,4658774,11988529,10593753,9717067,10212520,0,13368189,0,11426829,11661035,13307205,11849460,11877200
Peak_140,0,5521437,0,5959013,5977467,6846808,6350571,7106744,31368856,466369014,0,148414093,565244366,440388404,433460944,433080862,1237479,28091247,0,23535279,24771827,26950785,27388451,26108816
Peak_141,0,5429736,0,5520408,5483137,6144219,6456385,6822646,0,79197210,0,26777005,96853746,76003617,72886342,71323545,2427523,19448812,0,16891688,16166962,18176031,17108730,16609527
Peak_142,0,22265414,0,21368598,21225037,24020705,24887902,26149082,0,4434181,0,1996445,5253260,5055056,3791029,4562353,0,4162675,0,3242320,3113864,3882014,3298745,3355162
Peak_143,0,41963732,0,43267011,43260218,47504593,52816607,54314855,0,1707782,0,0,0,0,0,1273008,0,15178034,0,12898955,13269364,15130207,13657126,13988851
Peak_144,213717522,95238019,24223339,60667274,60977315,50691585,57319151,49023557,0,6119139,0,0,6799338,7445608,6206211,5120938,0,11026560,0,10041004,7454976,11193487,10095000,10492899
Peak_145,0,25912390,0,22355506,22648106,23280275,25143367,26102463,0,18208798,0,1537690,5561616,17448046,7455485,12816928,0,0,0,0,1393005,0,0,0
Peak_146,7916614,23954874,0,22904708,24556797,25422114,28385802,29560523,0,0,0,0,6339712,0,0,0,119598091,50697949,19989796,44196297,39113020,37640913,41416284,36577022
Peak_147,10361008,0,0,0,0,0,0,0,0,0,0,0,0,0,4720509,0,0,15422765,0,12843553,12831819,13487097,13264381,13165172
Peak_148,0,0,0,4693781,0,4777612,5014638,4946790,0,3725566,0,0,6073621,0,4786021,0,0,4498890,0,3886286,2966756,4442265,3179350,3575595
Peak_149,8181935,6033938,0,3494613,0,3208330,0,0,1201805,9308815,0,0,10750837,8748366,7089449,7886327,2223117,0,0,0,0,0,0,0
Peak_150,12341711,22259964,0,23193641,23556344,25378168,26861283,24841306,0,28507653,0,5441982,31091502,27475985,27621407,26941612,0,7853513,0,7204408,6040385,7181026,6473283,6673917
Peak_151,8396996,128722284,0,119311543,119472352,133269780,136052784,142987379,3443128,22558559,0,928680,23959144,21462605,20374383,20931155,5500887,0,0,0,0,0,0,0
Peak_152,67508777,583732459,14831848,545044409,556546800,624580447,635918114,669809233,0,0,0,908067,0,0,0,0,2659935,3122617,0,2573917,1980300,3077491,2111776,2506337
Peak_153,0,35546195,0,37920675,39065654,42003739,44563024,50158729,10806030,36240686,0,5892450,38308613,33759855,33769118,32754525,2646732,8091733,0,7764411,6700900,8426604,7655275,7796552
Peak_154,4987413,0,0,5329591,0,0,0,0,0,20199212,0,4680430,24826317,20917873,17883915,20219894,0,6930583,0,2989381,2074268,0,3024418,0
Peak_155,0,4988859,0,6023462,5954775,6225392,6998565,6911537,5656947,45790661,0,11875303,55753938,48468969,50587250,50204620,2437985,113621962,0,91857819,93571324,107223815,103074557,100315655
Peak_156,0,3807342,0,3153937,2998757,4458899,4419258,4553163,0,21558069,0,4649046,22179366,21793683,15724227,17943276,17067309,448972913,12429010,383512836,401467161,419225456,413409087,411713044
Peak_157,0,0,0,0,0,0,0,0,2102741,72025539,0,29140889,89427509,129046256,56289960,78564090,0,25077614,0,24719845,24555509,26820545,25892186,29258248
Peak_158,3566994,5909055,0,5940320,5764978,5952982,6152287,6689111,10294904,74569319,0,34832121,133859231,113184263,61515837,78048752,6639610,0,2925946,0,0,0,0,0
Peak_159,9905533,177865880,9750957,146530001,154255155,191178656,215122409,213073695,2149695,9566999,0,0,11421739,9639221,8966518,9005755,0,1173034,0,0,0,0,0,0
Peak_160,0,0,0,0,0,10512354,4856241,6194359,0,6361706,0,0,7191560,7034681,5543580,6660914,0,0,0,0,0,1143618,912505,0
Peak_161,0,15471372,0,0,0,5398761,13165878,13888684,1247825,82615593,0,31980302,106640743,86650040,77729960,81496805,0,0,0,0,0,0,0,1675910
Peak_162,0,0,0,0,0,6722498,3178571,0,0,8253156,0,7276195,12581111,14131997,9548084,11906935,0,0,0,940368,0,0,0,0
Peak_163,0,0,0,0,0,0,5326227,0,3050133,28308917,0,11522397,34290723,32470642,27563576,28273497,0,0,0,0,689592,0,0,0
Peak_164,0,18102603,0,0,0,20065807,15703923,19976122,1860297,19687361,0,7769242,21444610,18076765,18193873,17047774,0,33628579,0,0,0,0,0,0
Peak_165,0,7583910,0,11758637,10716674,0,0,7922606,0,6285183,0,3800475,6056597,6264049,6301152,6873603,0,19849716,0,0,935374,20650679,17966326,0
Peak_166,376694389,73335086,5094386,51196688,46131271,48299833,47590336,52752262,4629225,14971412,0,5295039,24044375,13976387,14765670,13796889,0,13250600,0,0,0,8214197,22385935,10089915
Peak_167,24850924,33490473,2321954,30797741,30702739,34725483,36129622,36609587,3946652,9191392,0,0,14966447,7656046,7893733,8612465,0,0,0,0,0,17152815,0,5183498
Peak_168,0,0,0,11654111,19466131,0,0,0,0,5258745,0,0,5725892,3752039,4899653,4392379,0,13337731,0,22304425,0,20269555,12928768,2272525
