Peak_ID,Library/ID,PA10BB02R04,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04
Peak_045,Methyl Isobutyl Ketone,12186812,11042798.00,10897593.00,11940140.00,14148479.00,4524886.00,11204806.00,14401003.00,7120165.00,6883476.00,10545510.00,18524986.00,7174789.00,15403004.00,11307286.00,9211655.00,18047178.00,1353542.00,8247688.00,11060393,10465921.00,10257490.00,13790983.00
Peak_046,"Butanoic acid, 2-methyl-, methyl ester",16046359,13208039.00,14662199.00,13200146.00,15258707.00,0.00,8403084.00,11100752.00,5352568.00,0.00,0.00,0.00,0.00,14106313.00,9580267.00,8234184.00,0.00,0.00,0.00,0,0.00,7340312.00,0.00
Peak_047,Isobutyl acetate,14445466,11338483.00,12926730.00,11896692.00,13299903.00,0.00,8515494.00,0.00,0.00,0.00,0.00,0.00,0.00,12254919.00,8319610.00,7816592.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_048,Methyl isovalerate,50216606,0.00,0.00,0.00,0.00,11215722.00,21838846.00,24453748.00,12403983.00,10081404.00,16411876.00,11322481.00,8559320.00,44877199.00,40976222.00,31119019.00,14652043.00,5381084.00,12467600.00,22097578,20919632.00,25258863.00,25926354.00
Peak_049,Trichloromethane,0,40864956.00,47145115.00,43361261.00,47131053.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00
Peak_051,2-Butanol,20048620,19224389.00,17490504.00,20989637.00,20914943.00,6172304.00,17205101.00,17310441.00,6132121.00,11106831.00,16321968.00,17395229.00,11690473.00,27266387.00,17253393.00,11257485.00,18502154.00,4846364.00,10616347.00,15662190,13056795.00,14413281.00,20273000.00
Peak_054,Toluene,46636567,50974232.00,43765795.00,38619704.00,43151839.00,21641661.00,25719895.00,38060092.00,32775478.00,14603578.00,0.00,0.00,25671676.00,34821948.00,24463435.00,23026651.00,14625994.00,8662579.00,13500694.00,14207782,15320184.00,16541810.00,19040677.00
Peak_056,2-Pentanol,0,23129936.00,25566966.00,25398195.00,23674056.00,12176002.00,20764540.00,21957839.00,13280796.00,11592961.00,17745250.00,17060137.00,14716788.00,26934733.00,25214357.00,18888326.00,15812771.00,10523452.00,13815649.00,20681891,21284422.00,22645965.00,23062373.00
Peak_057,"Butanoic acid, 2-methyl-, ethyl ester",13024660,12171654.00,11753436.00,11630716.00,10500598.00,0.00,6061760.00,7572242.00,3317058.00,0,0.00,0.00,0.00,12268302.00,10788929.00,5481534.00,4125949.00,2755396.00,3432829.00,5546587,4704150.00,4577817.00,6573694.00
Peak_059,"1-(2-trimethylsiloxy-1,1-dideuteriovinyl)-4-trimethylsiloxy-benzene",0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2097947.00,1299422.00,1793273.00,4217848,4027531.00,0.00,0.00
Peak_062,"Butanoic acid, 3-methyl-, ethyl ester",38770769,29083968.00,36933481.00,36062713.00,32267823.00,10668548.00,18393228.00,18543630.00,11005023.00,9847499.00,21058870.00,12234444.00,12180174.00,31079274.00,28867410.00,21578677.00,7963599.00,10387433.00,16777122.00,12165500,18525996.00,13609798.00,12326957.00
Peak_063,"Disulfide, dimethyl",346032453,310812328.00,341523365.00,193780906.00,273727921.00,46724653.00,55713645.00,81055479.00,68236012.00,15255331.00,30815004.00,41994802.00,21203457.00,315571265.00,266923641.00,337506060.00,22063117.00,18292704.00,24930368.00,75125248,70118272.00,77157862.00,85574079.00
Peak_065,N-Hexanal,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2092479.00,3384027.00,10956614,11223342.00,0.00,0.00
Peak_067,"Ethenamine, N-methylene-",9865038,23481902.00,8931595.00,8414170.00,8477339.00,2352920.00,4860055.00,6065122.00,2637966.00,2558194.00,5302216.00,4222811.00,3825345.00,8478963.00,8978147.00,8492715.00,4546766.00,2505364.00,3988966.00,23059244,10345491.00,6093588.00,6805080.00
Peak_068,1H-Pyrrole-2-carboxylic acid,22102276,0,20699735.00,14628060.00,16553984.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20095333.00,13064614.00,9973966.00,0.00,0.00,0.00,0,0.00,4217798.00,5282770.00
Peak_070,"2-Butenal, 2-methyl-",0,0.00,11206918.00,7740647.00,9718839.00,3148514.00,5725262.00,8384902.00,4245661.00,2477874.00,4784404.00,5285453.00,4530998.00,9448379.00,6675570.00,0.00,3035998.00,2684968.00,2659353.00,7124144,6349283.00,5307438.00,5307354.00
Peak_071,"1-Propanol, 2-methyl-",84582590,76504880.00,81775390.00,67384858.00,71416548.00,61156523.00,68568909.00,68983206.00,60460930.00,55937565.00,69117771.00,71128288.00,59667812.00,87772301.00,67433187.00,69580519.00,65637739.00,63807841.00,57355998.00,0,66791745.00,67286849.00,70076677.00
Peak_075,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",232951912,170654459.00,230782302.00,194984935.00,188055512.00,32113458.00,47716928.00,42602181.00,39776913.00,12944430.00,20755593.00,20721026.00,19090427.00,170776963.00,154766971.00,162229657.00,10777487.00,16019700.00,12746402.00,0,33392263.00,40144047.00,36953852.00
Peak_078,"3-Butenoic acid, 3-methyl-, methyl ester",0,0.00,7118051.00,12144854.00,6067540.00,0.00,2464138.00,2577270.00,0.00,0.00,0.00,0.00,0,6293274.00,8850172.00,3854863.00,0.00,1054299.00,0.00,2369395,2359638.00,3539850.00,3521585.00
Peak_079,"1-Butanol, 3-methyl-, acetate",9878621,7459679.00,9231577.00,8893885.00,7545716.00,0.00,1998878.00,0.00,0.00,0.00,0.00,0.00,0,17860351.00,4646756.00,3842066.00,2588665.00,1754558.00,2174017.00,4077391,4307537.00,3031518.00,3916879.00
Peak_080,"Butanenitrile, 3-methyl-",18342960,16954363.00,16834838.00,16298562.00,14685303.00,7933689.00,10015275.00,10152881.00,8750635.00,6738955.00,10454058.00,8888787.00,8147697.00,0.00,15109414.00,13140166.00,8091909.00,8195148.00,7950322.00,11979963,12335938.00,12796234.00,14521367.00
Peak_081,"2-Pentene, 4,4-dimethyl-, (E)-",5511181,5121058.00,4641269.00,5112543.00,3391757.00,0.00,1515033.00,2750816.00,1547964.00,0.00,0.00,0.00,0.00,8113874.00,3934960.00,2537924.00,898745.00,1589503.00,1144779.00,2591150,3236076.00,3966267.00,4239282.00
Peak_082,"1,3-dimethyl-Benzene",3642838,0.00,2962390.00,2877090.00,1156351.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2836017.00,1776285.00,1679634.00,0.00,0.00,0.00,0,42474504.00,38324710.00,43900451.00
Peak_085,1-Butanol,20368534,12601978.00,19523590.00,17497988.00,15779424.00,22088914.00,22900422.00,17693734.00,18812270.00,26720490.00,30077369.00,26129252.00,21906036.00,26495385.00,23726079.00,19697253.00,43776259.00,42230653.00,41066372.00,43279654,0.00,0.00,0.00
Peak_087,"Cyclopentasiloxane, decamethyl-",12749812,11830788.00,12237506.00,16621097.00,21134454.00,19040522.00,14972826.00,22516860.00,19504965.00,15720843.00,19469526.00,24253968.00,15172499.00,27171478.00,17162178.00,12665003.00,21336271.00,18526377.00,15900625.00,0,14954733.00,12582272.00,22917003.00
Peak_092,"2-Butenoic acid, 3-methyl-, methyl ester",10215887,4581909.00,9782926.00,9567721.00,10291310.00,5113229.00,4625869.00,6351943.00,5365827.00,0.00,0.00,5681975.00,0.00,10315494.00,8672955.00,8034475.00,4177885.00,3627545.00,3421588.00,8155741,6730371.00,5757684.00,8211382.00
Peak_095,"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-",17690641,9574703.00,17406955.00,14638935.00,15885696.00,4290765.00,4645852.00,4608882.00,4915846.00,0.00,0.00,0.00,0.00,14029161.00,11921710.00,11993518.00,2558432.00,3101115.00,2665558.00,4654439,4516110.00,4405711.00,7250153.00
Peak_096,p-Xylene,6729954,4679502.00,6564074.00,6324015.00,7600684.00,3569340.00,4448341.00,3873039.00,4230379.00,2310022.00,4593773.00,4206556.00,2555273.00,7513369.00,5644743.00,5601780.00,0,1556317.00,0.00,0,2686001.00,2317883.00,2848148.00
Peak_098,D-Limonene,15573410,10016181.00,16770974.00,12805732.00,13824417.00,3436951.00,4093202.00,4293257.00,4419428.00,2879080.00,2448333.00,3467609.00,2561457.00,8657186.00,6641299.00,7376941.00,0.00,0.00,0.00,2090583,0.00,0.00,0.00
Peak_102,"1-Butanol, 3-methyl-",735947423,679561312.00,738858218.00,696702793.00,669060720.00,645701121.00,677838678.00,667616431.00,651208536.00,668986486.00,661058907.00,774290875.00,666893342.00,1122500235.00,1140501077.00,1035252317.00,0.00,0.00,0.00,0,0.00,0.00,0.00
