Peak_ID,Library\ID,FFBB02C01,FFBB02C02,FFBB02C03,FFBB02P01,FFBB02P02,FFBB02P03,FFBB02R01,FFBB02R02,FFBB02R03,FFBB02R04,FFBB24C01,FFBB24C02,FFBB24C03,FFBB24P01,FFBB24P02,FFBB24P03,FFBB24R01,FFBB24R02,FFBB24R03,FFBB24R04,FFBB48C01,FFBB48C02,FFBB48C03,FFBB48P01,FFBB48P02,FFBB48P03,FFBB48R01,FFBB48R02,FFBB48R03,FFBB48R04
peak_087,Terpinen-4-ol,6102,352,0,14085,29895,26724,25698,34192,22462,22097,319,330,445,20512,16657,15939,17057,23649,22787,25276,596,309,433,7177,12671,14040,13110,10392,11908,11099
peak_088,"Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, trans-",0,563,0,14255,10613,13371,16691,21657,20680,23565,0,488,623,10389,15828,7342,1483,17852,12763,14610,352,250,0,13616,13028,12027,13750,12071,14433,13606
peak_089,"Bicyclo[2.2.1]heptane, 2-methyl-3-methylene-2-(4-methyl-3-pentenyl)-, (1S-exo)-",152,178,596,8071,14910,13150,49951,124069,133224,83448,1214,2247,1022,4733,14402,10574,20053,36345,28562,48939,198,447,1025,4568,6405,4219,17315,8741,30965,18996
peak_090,"Bicyclo[2.2.1]hept-2-ene, 2,3-dimethyl-",732,812,0,9781,8994,11442,23137,22590,26221,26962,1232,872,886,13247,13568,14810,14129,21215,14144,19197,511,1997,551,14184,18104,17280,16092,17131,23460,19649
peak_091,"Ethanone, 1-(2,5-dihydroxyphenyl)-",0,267,0,20826,17572,20906,34125,39999,38228,33168,0,315,389,4643,6432,1587,3594,6378,2636,6355,0,0,0,1679,4314,4396,3209,2524,4990,5024
peak_092,"1,4-Benzenediol, 2,5-dimethyl-",192,0,0,25772,26084,34817,34936,44493,23392,36847,288,239,204,20375,10784,9006,17866,24082,12403,21429,0,0,0,17454,16108,8457,12018,15213,15664,14939
peak_093,"1,3-Cyclohexadiene-1-carboxaldehyde, 2,6,6-trimethyl-",210,0,0,42516,54700,72770,69543,70965,76036,72372,457,260,216,16334,15526,15336,9850,10768,14501,15322,212,278,0,7503,6074,12594,7403,7800,10489,8822
peak_094,Acetophenone,32617,40610,1727,487517,485061,626841,617693,653188,703645,568794,46000,71488,1580,536872,597779,574731,486916,552875,488697,516743,49339,69059,32843,514866,452886,501749,430470,400069,502118,463427
peak_095,"Silanediol, dimethyl-",16069535,14777500,264906,10373525,7948890,13781702,5081396,2981702,7435444,11124904,11955379,5777521,9534754,6235361,5408689,9591880,5769517,5468223,7524702,5914594,12427141,9773035,4321185,10861014,6575912,7306290,4598385,6105252,5907253,4613223
peak_096,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-  1",674,651,336,41437,38479,51518,52021,76338,56182,58941,624,3165,1808,36142,38032,21755,29160,35039,33959,36098,3373,2722,2440,17812,15758,20011,14660,14267,24894,14562
peak_097,1-Nonanol,1253,290,731,8291,8648,10704,23989,32838,20153,29182,2186,986,174,2892,2930,320,8947,14273,10357,11981,975,668,54,349,1637,373,3748,9273,12273,9194
peak_098,"Benzoic acid, ethyl ester",1709,0,942,30806,31231,42572,41626,51415,53915,35924,1130,4027,0,4502,12355,12341,10319,13613,16954,14249,1605,4382,1361,5883,6708,8509,5780,6183,5370,5577
