Compound Method,BLANK   E-2,,CTRL01   E-2,,REP01   E-2,,CTRL02   E-2,,REP02   E-2,,CTRL03   E-2,,REP03   E-2,,BLANK     E-2,,CTRL01     E-2,,REP01     E-2,,CTRL02     E-2,,REO02     E-2,,CTRL03     E-2,,REP03     E-2,
Name,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.,RT,Resp.
"Hexanoic acid, methyl ester",10.015,26352,10.015,7643114,10.015,31716836,10.015,15309592,10.015,25307459,10.015,23281376,10.015,28546556,10.015,105241,10.015,10530714,10.015,15176936,10.015,9047567,10.015,7739160,10.015,10170204,10.015,9601743
Isobutyl isovalerate,10.154,1738,10.154,27628,10.153,4933073,10.153,217516,10.153,2749776,10.153,121080,10.153,1921546,10.154,7122,10.153,30284,10.153,4788132,10.153,642540,10.153,2057133,10.153,160268,10.153,4124874
"Butanoic acid, 4-pentenyl ester",10.267,2756,10.267,26574,10.267,298925,10.267,227832,10.267,207180,10.267,66152,10.267,153805,10.267,6618,10.267,37918,10.267,503830,10.267,260558,10.267,279951,10.267,90211,10.267,783875
"1-Butanol, 3-methyl-",10.738,12912,10.738,119689,10.738,4178472,10.738,2418899,10.738,2267725,10.738,589808,10.738,2116795,10.738,39488,10.738,201329,10.738,14044954,10.738,8569293,10.738,10248206,10.738,1141450,10.738,10932410
"Butanoic acid, 1-methylbutyl ester",10.836,8620,10.836,54776,10.836,1158614,10.836,328361,10.836,317033,10.836,333555,10.836,826711,10.836,26182,10.836,57850,10.836,768611,10.836,281756,10.836,219509,10.836,232139,10.836,438443
"1-Butanol, 2-methyl-",10.503,2244,10.690,99268,10.698,2878355,10.698,1497839,10.698,1763725,10.698,332633,10.698,1111581,10.292,51964,10.698,157793,10.698,8693203,10.698,4696604,10.698,6812732,10.698,787158,10.698,6223744
"Butanoic acid, butyl ester",10.974,6619,10.974,55991,10.974,5067491,10.974,538377,10.974,378379,10.974,227266,10.974,2108732,10.974,25404,10.974,50124,10.974,1360561,10.974,374755,10.974,281577,10.974,84590,10.974,416167
"1-Octene, 7-methyl-",11.323,14514,11.323,41838,11.323,445958,11.323,241272,11.323,209611,11.323,106077,11.323,226839,11.323,25679,11.323,61049,11.323,867467,11.323,480372,11.323,456171,11.323,86849,11.323,654972
"Hexanoic acid, 1-methylethyl ester",11.437,5816,11.437,1704653,11.437,31749871,11.437,29905557,11.437,7289254,11.437,5646538,11.437,14360959,11.437,69403,11.437,1021489,11.437,27879500,11.437,28506642,11.437,23720810,11.437,1815585,11.437,26109180
"2-Penten-1-ol, acetate, (Z)-",11.843,2982,11.843,33018,11.843,366898,11.843,424771,11.843,522165,11.843,77533,11.843,135736,11.843,6028,11.843,54657,11.843,415352,11.843,293195,11.843,278398,11.843,127129,11.843,853489
"Butanoic acid, 3-methyl-, butyl ester",11.916,1241,11.916,18598,11.916,1175945,11.916,214791,11.916,285304,11.916,112743,11.916,979655,11.916,7044,11.916,17802,11.916,856097,11.916,234301,11.916,349823,11.916,90428,11.916,608745
Styrene,12.095,9243,12.095,14258,12.095,6565602,12.095,2573688,12.095,237312,12.095,63766,12.095,368894,12.095,27586,12.095,28018,12.095,34668207,12.095,16269858,12.095,6251655,12.095,578736,12.095,3056458
"2-Heptanol, acetate",12.371,12517,12.371,33352,12.371,1159346,12.371,225616,12.371,274968,12.371,161763,12.371,678658,12.371,27949,12.371,53103,12.371,1390754,12.371,314810,12.371,303952,12.371,150975,12.371,690100
"Butanoic acid, 3-methylbutyl ester",12.436,3759,12.436,91454,12.436,8925764,12.436,987611,12.436,1536953,12.436,945693,12.436,5113135,12.436,22686,12.436,168276,12.436,7211540,12.436,2099534,12.436,2344183,12.436,669406,12.436,5373787
"Acetic acid, hexyl ester",12.656,4722,12.655,31127,12.655,5452660,12.655,937956,12.655,269597,12.655,100440,12.655,964183,12.655,15417,12.655,28713,12.655,6804626,12.655,1715120,12.655,764130,12.655,69163,12.655,1843677
"Acetic acid, nonyl ester",12.785,17507,12.785,31025,12.785,2739383,12.785,1010968,12.785,508637,12.785,247644,12.785,725744,12.785,145985,12.785,121796,12.785,4470089,12.785,1811220,12.785,1470565,12.785,365178,12.785,2076370
Acetoin,13.013,9081,13.013,16331,13.013,6079478,13.013,1443156,13.013,1289402,13.013,56985,13.013,2407448,13.013,19026,13.013,23356,13.013,9280722,13.013,1879892,13.013,5214044,13.013,80501,13.013,3406476
"2-Butenoic acid, hexyl ester",13.159,5491,13.159,11938,13.159,735727,13.159,148998,13.159,266544,13.159,60077,13.159,200581,13.159,27139,13.159,34053,13.159,863197,13.159,231843,13.159,283580,13.159,75968,13.159,578487
"2-Hexenoic acid, methyl ester",13.192,8221,13.192,23990,13.191,552900,13.191,149534,13.191,290538,13.191,106427,13.191,248257,13.192,31749,13.192,61887,13.191,509993,13.191,225117,13.191,326704,13.192,117625,13.191,327240
"Butanoic acid, 3-methyl-, 3-methylbutyl ester",13.362,2566,13.362,15967,13.362,697772,13.362,161887,13.362,454043,13.362,173521,13.362,1021944,13.362,11072,13.362,24588,13.362,1157110,13.362,294780,13.362,835238,13.362,193516,13.362,1868334
"4-Hexen-1-ol, (4E)-, acetate",13.760,2317,13.760,4479,13.760,59847,13.760,38548,13.760,14027,13.760,8043,13.760,16718,13.760,3442,13.760,3746,13.760,125246,13.760,156302,13.760,103402,13.760,8650,13.760,134553
"4-Hexen-1-ol, acetate",14.036,2425,14.036,47340,14.036,1584580,14.036,1811833,14.036,488499,14.036,247923,14.036,370077,14.036,8551,14.036,41965,14.036,2209227,14.036,2545702,14.036,1366134,14.036,358697,14.036,8908960
"Hexanoic acid, propyl ester",14.118,198,14.118,4238,14.117,215261,14.118,167777,14.117,101639,14.117,24439,14.118,87548,14.118,1758,14.118,3227,14.117,130048,14.117,123562,14.118,157779,14.118,9809,14.117,78652
2-Heptanol,14.231,7970,14.231,17325,14.231,451308,14.231,88114,14.231,70053,14.231,41463,14.231,146973,14.231,9003,14.231,15193,14.231,741178,14.231,139421,14.231,117957,14.231,30501,14.231,269735
"5-Hexene-1-ol, acetate",14.329,10933,14.329,15091,14.329,150802,14.329,77552,14.329,54638,14.329,31789,14.329,61051,14.329,16718,14.329,17080,14.329,185570,14.329,113200,14.329,99600,14.329,44636,14.329,286217
"Silane, diethyl(trans-4-methylcyclohexyloxy)undecyloxy-",14.499,215456,14.499,142893,14.499,149227,14.499,135999,14.499,122024,14.499,114259,14.499,121872,14.499,261785,14.499,115988,14.499,179567,14.499,140991,14.499,131440,14.499,106499,14.499,144458
"2-Hexen-1-ol, acetate, (E)-",14.573,10523,14.573,19814,14.572,565140,14.572,246207,14.572,138974,14.572,46456,14.572,252076,14.572,12882,14.572,18098,14.572,753594,14.572,1140582,14.572,517095,14.572,36485,14.572,1700120
