,,,,JTB-E02-192-12,JTB-E02-192-06,,JTB-E02-192-13,,JTB-E02-192-14,,JTB-E02-192-15,,JTB-E02-192-16,,JTB-E02-192-17,,JTB-E02-192-18
,,,,2H_CTRL01,BAC-01 BLANK,,2H_CTRL02,,2H_CTRL03,,2H_REP01,,2H_REP02,,2H_REP03,,2H_REP04
Header=,Qual,Library/ID,RT,Area,R.T.,Area,R.T.,Area,R.T.,Area,R.T.,Area,R.T.,Area,,,
62=,87,"2-Butenoic acid, 3-methyl-, ethyl ester (CAS) $$ Ethyl senecioate $$ Ethyl dimethylacrylate $$ Ethyl 3-methylcrotonate $$ Ethyl 3-methyl-2-butenoate $$ Ethyl isopropylideneacetate $$ Ethyl .beta.,.beta.-dimethylacrylate $$ Crotonic acid, 3-methyl-, ethyl",10.8328,28776476,28.888,8548794,10.839,25035539,11.116,24420309,10.554,60879927,10.731,19575195,,,
63=,47,"Phenol, 2-nitro- (CAS) $$ o-Nitrophenol $$ 2-Nitrophenol $$ Phenol, o-nitro- $$ o-Hydroxynitrobenzene $$ 2-Hydroxynitrobenzene $$ o-Nitrofenol $$ UN 1663",11.0301,18144791,28.937,20050070,11.038,14193409,11.372,654641455,10.726,25786150,10.84,18505331,,,
64=,89,TRANS-.BETA.-OCIMENE,11.1071,38565688,30.035,649387466,11.115,30684018,11.536,42564600,10.835,31348437,11.039,12821692,,,
65=,96,HERBOXIDE SECOND ISOMER,11.3649,909318554,30.459,4349022,11.371,687503901,11.632,34153575,11.034,13816701,11.12,24863238,,,
66=,87,TRANS-DIHYDROCARVONE,11.5263,64092088,30.51,8886176,11.533,44451225,11.739,15230036,11.115,28843179,11.372,663377939,,,
67=,64,1-Pentanol (CAS) $$ Amylol $$ n-Pentanol $$ Amyl alcohol $$ n-Pentan-1-ol $$ Pentanol $$ n-Amyl alcohol $$ Pentyl alcohol $$ n-Butyl carbinol $$ n-Pentyl alcohol $$ 1-Pentyl alcoholther $$ n-Butylcarbinol $$ 1-Pentyl alcohol $$ n-C5H11OH $$ Pentan-1-ol $$,11.6296,41527328,31.245,43800127,11.637,40109525,12.163,329346353,11.368,626271458,11.535,37731769,,,
68=,27,"Benzene, [(ethylthio)methyl]- (CAS) $$ ETHYLBENZYLSULPHIDE $$ Benzyl ethyl sulfide $$ Ethyl benzyl sulfide $$ Sulfide, benzyl ethyl $$ .alpha.-(Ethylthio)toluene $$ 1-Phenyl-2-thiabutane",11.733,23506804,31.997,281967283,11.744,19288969,12.444,75472521,11.53,50750928,11.635,39653568,,,
69=,97,"Benzene, 1-methyl-4-(1-methylethyl)- (CAS) $$ p-Cymene $$ 1-Methyl-4-isopropylbenzene $$ p-Cymol $$ p-Cimene $$ Camphogen $$ Dolcymene $$ 2-p-Tolylpropane $$ p-Isopropyltoluene $$ p-Methylisopropylbenzene $$ 1-Isopropyl-4-methylbenzene $$ 4-Isopropyl-1-me",12.1541,515880863,32.34,5312954,12.161,364644889,12.576,39608871,11.633,41578482,12.163,335088209,,,
70=,43,Phenacyl thiocyanate,12.4394,79888587,32.711,4903242,12.446,82907523,13.257,3533566,12.159,284462910,12.444,55245694,,,
71=,96,terpinolene,12.5659,71622626,33.14,2044472,12.574,57015838,13.502,3186292,12.443,55117386,12.576,40751979,,,
